canonical,homepage
The Spokesman-Review,www.spokesman.com
MyNorthwest,mynorthwest.com
The Urbanist,www.theurbanist.org
PubliCola,publicola.com
The Seattle Times,www.seattletimes.com
Department of Natural Resources,www.dnr.wa.gov
Office of the Attorney General,www.atg.wa.gov
American Civil Liberties Union of Washington,www.aclu-wa.org
Washington St Pta,www.wastatepta.org
United Ways of the Pacific Northwest,www.uwpnw.org
Economic Opportunity Institute,www.opportunityinstitute.org
Quaker Voice On Washington Public Policy,www.quakervoicewa.org
Capitol Hill Seattle Blog,www.capitolhillseattle.com
South Seattle Emerald,southseattleemerald.com
Northwest Progressive Institute,www.nwprogressive.org
KUOW,kuow.org
Sightline Institute,www.sightline.org
Crosscut,crosscut.com
Real Change,www.realchangenews.org
KIRO7,www.kiro7.com
KING5,www.king5.com
Hacks and Wonks,www.officialhacksandwonks.com
The Washington Bus,www.washingtonbus.org
Statewide Poverty Action Network,povertyaction.org
Washington State Coalition Against Domestic Violence,wscadv.org
Wenatchee World,www.wenatcheeworld.com
House Democrats,housedemocrats.wa.gov
Senate Democrats,senatedemocrats.wa.gov
Senate Republicans,src.wastateleg.org
House Republicans,houserepublicans.wa.gov
NW News Network,www.nwnewsnetwork.org
The Center Square,www.thecentersquare.com
Gorge News Center,gorgenewscenter.com
Gorge Radio,gorgeradio.com
The Daily News,tdn.com
Microsoft,blogs.microsoft.com
Axios,www.axios.com
KREM,www.krem.com
KGW,www.kgw.com
FOX13,www.fox13seattle.com
